number	sentence	perceptual?	pay attention to?	bearing in mind?	perceptual?IH	pay attention to?IH	bearing in mind?IH	NotesIH	perceptual?MC	pay attention to?MC	bearing in mind?MC	NotesMC	Consensus	Perc	
3	 But Coun Michael Carr, Labour leader of the council, said apart from some meetings held during the recess he was not aware of any difficulties.	N			N				P	A		Negation	1	N	
5	 If sufficient evidence is available or can be generated on what has been achieved, the student should be made aware of this and be advised to prepare to communicate the findings.	N			N				P		B		1	N	
6	 And no-one is more aware of the side's shortcomings than Coyle.	N			N				P		B		1	N	
7	 Defects from bad workmanship were potentially higher, and serious accidental damage after occupation could arise because the occupier either would not know the house was timber-framed or would not be aware of its consequences  even attempting to hang a picture could cause potentially serious damage.	N			N				P		B	 	1	N	
8	 Students should be made aware of the above criteria and should be encouraged to carry out their own evaluation of any potential investigation which they might use for summative assessment purposes.	N			N		B		P		B		1	N	
9	 Many people are not aware of the existence of some of them or of their own eligibility to make a claim, so are not taking them up; and you may find that you are one of them.	N			N				P		B	 	1	N	
11	 The counsellor who is in touch with her own feelings will soon become aware of the client who is stuck.	N			N				P		B		1	N	
12	Lewis was fully aware of the fact that there was a purely irrational intellectual snobbery abroad in England at that time, more powerful than any genuine intellectual stumbling-block to faith.	N			N				P	 	 		1	N	
14	 Always, Damian replied in that deep, cool voice, and in that moment Rachel saw how close the bond between the two men was, how much Charles relied on Damian, and how deeply aware of that reliance Damian was.	N			N				P	A	 		1	N	
15	 Frequently however these problems go unnoticed or are hidden from view Only the nurse herself is aware of the difficulty.	N			N				P	A			1	N	
16	 Conversation with him could be exciting and enjoyable, but one was uneasily aware of potential explosions.	N		borderline: perceptual cues will be relevant	N		B		P		B		1	N	
21	Ben's owner always carries a poop scoop and is very aware of the anti-dog brigade.	N			N				P		B		1	N	
22	 Both characters and readers become aware of the extent and nature of Tolkien's moralisations from landscape in such passages.	N			N				P		B		1	N	
23	 It was only when two alert Windscale scientists found hot spots of radioactivity in their gardens that the authorities were made aware of the problem.	N		borderline: someone was told/informed	N				P	A			1	N	
24	 Which was which was that we didn't take the whole of the vacant dwellings, we only took a part, even though we are not aware of any planning policy that will restrict occupation of dwellings as second homes.	N			N				P		B	Negation	1	N	
25	 We are certain that you will be aware of how some people are able to achieve more than others, cram so much more into a working day, and do it with seemingly little effort.	N			N				P	A			1	N	
26	 I am aware of that provision, to which I was referring before I gave way to my right hon. Friend  and I hope that it will be widely understood by parents throughout the country.	N			N		B		P	A			1	N	
27	 It is also clear that  though the accident may have slightly lowered her I Q, she remains an intelligent young lady who is fully aware of everything that she has lost, but determined not to dwell on that loss.	N			N				P	 			1	N	
28	 At-the same time this differentiation acts as agent of effective phrasing by tellingly setting off the two heterogeneous themes from one another provided the director is aware of Mozart's signs and interprets them correctly with greater sharpness for the strokes.	N			N				P		B		1	N	
29	 If he was aware of her deliberate attempt to change the subject, Jim gave no sign of it.	N			N				P	A			1	N	
30	 So, whether the overseers were aware of it or not, the members of Sheppards Barton Baptist Chapel set about helping their ailing sister with a bit of cash support of their own.	N			N				P				1	N	
31	I quickly became aware of what a real polis was and more importantly what boundaries one had to cross to cease being real and in effect become unreal, inauspicious, and inhuman.	N			N				P		B		1	N	
32	 He had only won one match prior to the international, in the Regal Scottish Masters, but is well aware of his own capabilities.	N			N				P				1	N	
33	 The right hon. Gentleman will be aware of yesterday's decision by the House, by 224 votes to 4, to do something about the shambles about the operation of the Shops Act 1950.	N			N				P				1	N	
34	 Young people themselves are remarkably aware of the dangers and the availability of solvents it's the mothers and fathers who are most ignorant.	N			N				P				1	N	
35	 I am aware of the difficult times that other theatre companies who actually face in this moment in time and I am very grateful when I and I've always been grateful to the Harlow Council for the funding of the Council has given to the theatre, has given to the theatre over the years.	N			N		B		P		B	Gratitude when bearing in mind 	1	N	
36	 You can't help but be aware of the difference money makes.	N			N				P		B		1	N	
37	 Rostov was well aware of the scandal.	N			N				P				1	N	
38	 A social worker may need to be aware of those aspects, and of the need to assess the client before forming a social care plan.	N			N				P		B		1	N	
39	 A problem we were already to our distress  aware of, became more apparent in the course of our stay at MIP.	N			N				P	A			1	N	
41	 The public has become more aware of the importance of groundwater (it is interesting to see how widely the term aquifer is used in newspapers now compared with during the drought of 197576), and public use of the Hydrogeology Group's enquiry service has increased.	N			N				P	A			1	N	
42	 NIGEL MANSELL confirmed last night that he is aware of moves to buy him out of his Indy Car racing contract and sensationally persuade him to stay in Formula One next year.	N			N				P				1	N	
43	 You obviously weren't aware of that fact, I see.	N			N				P			Negation	1	N	
44	 Well  i  I'm not aware of how far he has taken anything on board, what I would expect as a Member of Parliament and the House of Commons, and as the leader of a party in the House of Commons, I would expect that he would want to hear what I would have to say face to face, and tell me face to face what's wrong with what I have said.	N			N				P			Negation	1	N	
46	 I'm sure there are, but I can quite honestly say that you're the first one I've been aware of, or who's made such a marked impression on me after so short an acquaintance.	N			N				P	A			1	N	
47	 Social conventions would clearly be of little use if only a small proportion of members was aware of them, and the same holds for the interpretative rules which guide the manner in which meanings are attached to objects and situations.	N			N		B		P	A	B		1	N	
48	 Whether or not Shakespeare was aware of that piece of lore, the corrupt nature of the invitation is made only too clear.	N			N				P				1	N	
49	 However, as a result of a recent Court of Appeal case (Eurocopy plc v Teasdale, reported only in the November 1991 edition of the journal PLC) there is at least a risk that the purchaser will be deprived of a remedy for breach of warranty where it is aware of the breach following a disclosure or otherwise, and despite any provisions in the sale and purchase agreement that no actual or constructive knowledge on the part of the purchaser would prejudice a claim.	N			N				P		B		1	N	
50	 Sony is first into the UK market for the Discman hardware, but Panasonic is hot on its heels, and Mr Ayscough is aware of 12 other competitors.	N			N				P				1	N	
51	 Where there is limited net asset cover, the vendors might be asked to warrant that they are not aware of any information relating to the target which has been knowingly withheld, the disclosure of which might effect the decision of the purchaser to proceed.	N			N				P	A		Negation	1	N	
53	 Be aware of crime, especially in major cities.	N			N	A	B		P		B		1	N	
54	 Certainly, modern royalty is aware of this.	N			N				P				1	N	
55	 It is impossible for us to know what the wives actually said, but Kanter (1977) reported that female managers were the target of the sexual fantasies of male colleagues, that wives were aware of this, and the men played on the concerns of their wives.	N			N				P	A			1	N	
56	 and er, you know it's part of a spectrum, and if we're all as aware of er mental health as we are with physical health now, and if that was, was carried out in public education campaigns and in schools, I think you're right, we would have this right to mental illness as part of a overall mental health.	N			N		B		P		B		1	N	
57	 So far in our investigation we are aware of at least ten loyalist prisoners who have been interviewed by the same policemen.	N			N				P	A			1	N	
59	 What needs to happen is that the trade should be made aware of the shortlist; the media must pick up the vibes; and the winner should be available in paperback ( Emily  will be a Pan in October.	N			N				P		B		1	N	
61	 Why? the shops owner wrote to John Major to ask when the recession would end  the reply from number ten said: The prime minister is very aware of the difficulties faced by many people during the recession  he believes firmly that there are now very real grounds for optimism in the economy.	N		B	N		B		P				1	N	
63	 So that the committee are aware of the the movement of cash from one period to the next.	N		B	N				P	A			1	N	
66	 The trade union officials involved in the agreements were fully aware of their two-sided nature, and some admitted to a sense of bad conscience at seeing the regular dismissal of involuntary temporary workers.	N	A	B	N				P		B		1	N	
68	 The Cleansing Department are aware of this and suggest making a phone call to the department who will arrange to uplift the pet and remove it.	N		B	N		B		P	A			1	N	
70	 With Shadow Cabinet Ministers, Labour MPs and Prospective Labour MPs (including the candidate for Orkney and Shetland, John Aberdeen from Stromness) at the conference, the Action Committee thought it was a good opportunity to make a lot of politicians aware of the situation very quickly.	N			N				P	A			1	N	
71	 Colleagues, who've been paying tribute to his dedication and exertise, say he'd always been aware of the dangers surrounding his work.Ian Maclaren reports.	N			N		B		P	A		?B	1	N	
72	 It was only with enormous reluctance and great misgivings that even those most acutely aware of the evils of Nazism came to persuade themselves of what we, as beneficiaries of the Second World War, too often take for granted  that the catastrophe of another war was the lesser of two evils.	N			N				P		B		1	N	
73	It might seem a bit bleak, a bit inhuman (antihumanist, yes; inhuman, no, she would interject), somewhat deterministic (not at all; the truly determined subject is he who is not aware of the discursive formations that determine him.	N			N				P	A		Negation	1	N	
74	 I am also extremely aware of what I eat.	N			N	A	B		P	A	B		1	N	
75	 Studying advertising at college in her media studies course has made Jo, who is twenty-two, aware of how television and magazine advertising affect all of us.	N			N				P			?B	1	N	
76	 Alex Bell, CastleCourt's manager, said: We have been aware of this problem but are satisfied it does apply to us.	N			N				P				1	N	
79	 If this were so, it suggests the need for good quality pre-entry information and advice so that adults are aware of the academic demands of the courses and of progression routes to their preferred courses.	N			N		B		P		B		1	N	
81	 It is encouraging that the primary visual areas of both rats and monkeys receive input from the lateral geniculate nucleus of the thalamus but we should be aware of some circularity here since one of the criteria used for saying that the lateral geniculate nuclei in the two groups are homologous is that they both project to primary visual cortex!	N		B	N		B		P		B		1	N	
83	 You are aware of the venue, are you not?	N			N				P				1	N	
87	 Lamb said: We are aware of what's been going on in India and obviously things are not as rosey as we would have liked, but we all hope the conflict will die down.	N			N				P	A			1	N	
88	 The young Hugh Gaitskell, who had become aware of the dangers of fascism on his visit to Austria in the summer of 1933 and was greatly influenced by Dalton, summed up the attitude of this group by arguing that a general strike against all wars was an invitation to the fascist aggressors.	N			N				P		B		1	N	
92	 She may have a house to sell, or a tenancy to terminate, and she should be made aware of your willingness to help her with this, if she wishes, and with everything else connected with the move.	N			N				P	A			1	N	
95	 In the case of our community church we were aware of the apparent separation or rift between community groups and church.	N			N				P	A			1	N	
96	 Engineers should be aware of the need to balance reliance on codes and standards with projectspecific risk assessment.	N			N		B		P		B		1	N	
97	 She was aware of the career break scheme through internal advertising at ICI and enquired about the possibility of participating in one.	N			N				P		B		1	N	
98	 I would love another child but I have to be aware of the possibility that I'm not going to be able to have one of my own, she said.	N		B	N		B		P		B		1	N	
99	 His words were enough to throw Lucy into a state of thoughtfulness, forcing her to become aware of how impossible it would be to drag this man within yards of his stepmother and how futile it would be for herself to harbour any emotional feelings towards him.	N			N				P		B		1	N	
100	 The accounts department is responsible for ensuring that top management is aware of the financial state of the company and for advising it on appropriate actions to ensure that it remains sound.	N			N		B		P		B		1	N	
103	 Where this happened, certain pupils in each group were clearly more aware of the problem than others; they were the ones who changed the nature of the questions.	N		B	N				P		B		1	N	
105	 Mrs. X and the hon. Member are aware of the nature of this punishment.	N			N				P	?	?		1	N	
107	 The Saturn-Pluto square of March 20 and October 9 will cast a shadow over coming months, making you highly aware of how much influence you can bring to bear and how circumstance and other people can block you.	N		B	N				P		B		1	N	
108	 Goebbels's rhetoric that the German people has never looked up to its Fhrer so full of belief as in the days and hours that it became aware of the entire burden of this struggle for our life, and that far from being discouraged it stood all the more firmly and unerringly behind his great aims, sounded even emptier than usual.	N		B	N				P	A			1	N	
109	 New Historicism is, therefore, fundamentally concerned to be aware of its critical project and considers that any inquiry into the past must be based upon a current critical partiality which marks out the inquisitor's history.	N		B	N		B		P		B		1	N	
110	 He believed firmly in working hard and playing hard and was an enthusiastic gamesplayer; he was also keenly aware of the need for the Army to become part of the community it serves.	N			N				P	A	B	I take “keenly aware” to imply both attention and bearing in mind.	1	N	
112	 Doctors should take a careful history and be aware of this problem in the regular follow up of patients using metered dose inhalers long term.	N		B	N		B		P		B		1	N	
113	 It is in fact the case that, provided the analyst is aware of the theoretical and methodological imperfections and limitations of the techniques, and takes these into account, citation analysis has provided science with a very powerful tool for investigating its own internal communication processes.	N		B	N		B		P		B		1	N	
114	 We are aware of the practice which has prevailed in certain cases, of allowing, as costs between party and party, so much per day for the attendance of professional men, but that practice cannot alter the law.	N		B	N				P		B		1	N	
115	 As members of the Panel the Chief Executives of these organisations meet the appropriate mister at least once a year so that successive governments are aware of the problems and aspirations of the deaf and the hard of hearing.	N			N		B		P				1	N	
117	By the end of 1987 not only had large numbers of people participated in community  activities but many others were aware of the model.	N			N				P		B		1	N	
122	 When the farm worker sees ex-workmates supporting a more grandiose life-style he becomes more aware of his own relatively lowly situation.	N			N	A			P	A			1	N	
123	 I am aware of most of its history in America, its formation out of the Pontiac Buggy Company, its takeover by General Motors and its sibling Pontiac  that is all fairly well documented.	N			N				P				1	N	
125	 The seasoned fighter would be well aware of this and would take precautionary counter-measures.	N			N		B		P		B		1	N	
127	 The Regional Council is aware of the need to cater for cycling which is becoming more popular with adults and children for recreation and travel for work, school and other purposes.	N			N		B		P		B		1	N	
128	 Miller and Holzman (1981) were aware of this possible problem with their procedure and conducted a further study in which a smaller dose of LiCl was used as the US.	N			N		B		P		B	Aah! Lithium!	1	N	
129	 In  Gloria  every movement seems tense even when characters are looking tenderly at those they love for they are always aware of the next leave-taking.	N			N		B		P	A			1	N	
130	 According to Koen Van Waerebeek, who has spent many years studying the dolphin hunt, hardly anyone in Peru is aware of the true nature of chancho marino .	N			N				P	A			1	N	
131	 OWNER-MANAGED businesses in the south are aware of the need to maintain and increase marketing spend in the current difficult economic climate, according to a survey by chartered accountants and business advisers Grant Thornton.	N			N		B		P		B		1	N	
132	 Perez says he is well aware that expert systems haven't lived up to the promises and claims that were being made for the technology three or four years ago, but claims Neuron Data was well aware of its limitations at the time and was already busy putting Open Interface together.	N			N				P		B		1	N	
134	 During adolescence bicycle accidents and sporting injuries become more common and, although more aware of danger, rebelliousness or over-confidence may result in lack of consideration for personal safety and the safety of others.	N			N	A			P		B		1	N	
136	 The marketers of, say, electronics products or costly household equipment (items often bought on credit) need to be aware of financial indicators as the marketers of a credit card.	N		B	N		B		P		B		1	N	
137	 Everyone in the school should be consulted and informed about Compact so that they can be aware of it as an educational resource.	N		B	N		B		P		B		1	N	
139	 Most people never have any trouble so there is no need to be paranoid, but do be aware of the facts: the little word taxi or minicab written on a car is not necessarily an official certificate of good character.	N		B	N		B		P		B		1	N	
142	 Religious language is not primarily informational but inspirational in becoming more and more aware of the extraordinary ramifications of the few essential truths.	N			N	A			P		B		1	N	
144	 You will then be aware of how the Chairman's efficiency affects the work of the committee.	N			N		?		P	A	B		1	N	
145	 We need to be aware of how we are  subconsciously taught.	N		B	N		B		P		B		1	N	
148	 While I do not dismiss the care and treatment I have received during those admissions, I did not have to spend many weeks in the old bins to become aware of their shortcomings as therapeutic environments.	N			N				P	A		B?	1	N	
151	By the development of the ward programme, the full potential of the resource will be realized; but to plan an effective programme, the ward sister and staff need to be aware of the advantages and problems  of bedside learning.	N		B	N		B		P		B		1	N	
152	 The notes were also reported to show that other senior officials, including the then President Ronald Reagan, were aware of the shipment.	N			N				P				1	N	
153	 He had not been aware of anything iffy until they arrived in the Borders.	N			N				P				1	N	
155	 Jessie Hewitt, a childminder for 30 years and a regional director of the National Childminding Association, is well aware of the urgent need for a national registration system for all child carers.	N			N				P	A			1	N	
158	 By the nature of your job, you may reason-  ably be expected to be aware of the standards that are required.	N		B	N		B		P		B		1	N	
159	 In Cranleigh Precision Engineering Ltd v Bryant Roskill J held that the defendant who had, whilst a director of the plaintiff company, been made aware of a patent held by a third party which affected the plaintiff's products, could not justify his failure to disclose the existence of the patent to the plaintiffs and his subsequent acquisition of the patent for himself on the ground that it was public knowledge, for what he had misused was his confidential knowledge of the relationship of the information in the patent to the plaintiff's products.	N			N				P	A			1	N	
160	 Those closest to her were never aware of her not working.	N			N				P				1	N	
165	 Is the Secretary of State aware of the serious threat to standards in schools caused by his spending decision in the Prime Minister's county of Cambridgeshire, where the Cambridge branch of the Secondary Heads Association has said that impending cuts will cause larger classes fewer books, less equipment, reduced sixth form provision and serious difficulty in providing the national curriculum?	N			N				P				1	N	
166	 Not a subject I'm personally qualified to comment on, but even I am aware of the practical difficulties involved in moving small children about this planet.	N			N				P		B		1	N	
172	 After over a year on the specialised endocrine ward here at Coronation Hospital, she was well aware of Deana's deserved reputation as a malicious gossip, and knew that her heated denial would only pique the older girl's interest.	N			N		B		P	A	B		1	N	
173	 I WOULD like your readers to know that I am aware of their letters to Sunday Life and their concern about money owing to them by my former company C H Enterprises.	N			N				P	A			1	N	
174	 There were yet other critics who were all too aware of what was really going on.	N			N	A			P	A			1	N	
176	 The hon. Gentleman refers to Sir Ron Dearing, the chairman of the Northern Development Company, but is he aware of his recent speeches in which Sir Ron lamented the lack of a structure in the north-east which, he was worried, would weaken that area in Europe in the coming years?	N		B	N				P				1	N	
179	 We want to make sure that UK handling agents, Scottish hotels and in particular coach operators are aware of who we are and what we have to offer their clients.	N		B	N				P		B		1	N	
180	 They appeared to be more aware of the misery and realities of war than might otherwise have been expected.	N			N				P	A			1	N	
182	 And being aware of this prophecy, he can hardly have fulfilled it unwittingly, or through sheer coincidence.	N		B	N				P		B		1	N	
183	 David Hirst, Alan Shearer and Lineker himself are typical examples but Wright  like Paul Gascoigne has so much potential he simply is not yet aware of his capabilities.	N		B	N				P				1	N	
184	 Type three, the short-term survey, can only be interpreted if we are aware of developments in types one and two.	N		B	N		B		P		B		1	N	
187	 I wasn't aware of the fact that I was being used to provoke your lovely Lotta in an attempt to further your tempestuous love-life!	N			N				P		?		1	N	
188	 Pupils are encouraged to develop an ability to work independently, to use a wide range of modern equipment, to use resources, to make decisions and exercise judgement and to become aware of the complexities of living in a consumer society.	N		B	N				P	A	B		1	N	
190	 This indicates that they are aware of some of the implications of care programming for social services.	N			N				P				1	N	
191	 Modern technology has helped to ameliorate some of the worst risks, and insurance policies, which the more traditional farmer is loathe to take out (even if he is aware of them) can provide a buffer against absolute loss.	N			N				P				1	N	
193	 Where eminent historians argue, the student can do little more than be aware of the conflict of ideas.	N			N				P		B		1	N	
196	 But mobility demands sensitivity: if you travel, one way or another you must be aware of where you are going.	N		B	N				P		B		1	N	
199	 However, it is crucial to the successful design of programs for general use that the designer be aware of the wide variety of ways in which his material will be used if it is used at all by others.	N		B	N		B		P		B		1	N	
200	 The family is well aware of the poor level of prize-money in Britain, but their decision not to bid had more to do with a clash of personality with Tattersalls than any pull-out threat.	N			N		B		P		B		1	N	
201	 Kubla Khan  represents a strange moment in this decline, a moment in which Coleridge is fantastically aware of the power of his mind, and yet is not depressed by its imagery.	N			N				P		B		1	N	
202	 Legislation alone cannot overturn the ideologies and assumptions underpinning male domination which are rarely spoken and which often seem so natural to those who hold them that they are not even aware of  them.	N			N				P				1	N	
204	 I was fortunate to have had these advantages; it is quite impossible to operate at any level in industry without being aware of the world forces which are pressing upon us.	N		B	N		B		P		B		1	N	
205	 How much work the women tutors especially must have done, and how little we, as undergraduates, were aware of it!	N		B	N				P	A		Negation 	1	N	
206	 In the season of goodwill it seems appropriate to contemplate a fungus that makes a good living out of parasitising insects; but it is so mild-mannered that its hosts (and most biologists) are hardly aware of its existence	N			N				P			Negation 	1	N	
207	 Sir Thomas admitted  though with no small reluctance  that he had been aware of a liaison 'twixt my lord and Bess Halidon.	N			N				P				1	N	
208	 As you become more and more aware of these little imperfections, you take a look at the kind of life you're living.	N			N				P		B		1	N	
209	 Fans of the exciting Paul Mitchell Systems range will be aware of the company's relentless campaign for a better world.	N			N				P				1	N	
210	 It was true she'd avoided him, had gladly left him to Merry, but it hadn't occurred to her that he might be aware of that.	N			N				P				1	N	
212	 Sceptical about over-simple uses of the word evolution, Eliot wishes reader and writer to be aware of the detailed work of philologists and anthropologists in relation to literature.	N			N		B		P	A	B		1	N	
213	 Yet senior staff and field men alike are aware of the fact that most dischargers are likely to be more sympathetic to an approach to standard setting and enforcement based on equity.	N			N		B		P				1	N	
214	Research enables people to be aware of different ways of conceiving of the familiar world and, if they act on the new conception, to alter or extend their customary ideas and practices.	N		B	N				P		B		1	N	
216	He and Sessions, in their different ways, have found entertaining, imaginative substitutes, but, elsewhere, you're all too aware of what's missing.	N			N				P		B		1	N	
217	 I am sure that the Minister is aware of the widespread concern about the threat to postal services that the Government are determined to impose by bringing in tin-pot competitors who will make the rural services a threatened species.	N			N		B		P				1	N	
218	 While you co-operate with them, the Iranian government will no doubt overlook your political leanings and I've little doubt they'll be aware of them.	N			N				P		B		1	N	
219	 A police spokesman said: We are not aware of any formal complaint being received by us on behalf of the family of the young boy.	N			N				P	A		Negation 	1	N	
221	In February 1973 his geography teacher warned him in his report to: Be more aware of the influence of friends who might adversely affect your future progress.	N		B	N		B		P		B		1	N	
222	 Although our findings (see Table 2) indicate that nearly two thirds of local authorities were aware of the care programme approach at the time of writing their 1992/93 community care plan, there is great variation in their interpretation of care programming and its implications for their role in the purchasing and provision of mental health services.	N		B	N				P				1	N	
225	 There are, however, limitations that the desktop publisher needs to be aware of.	N		B	N		B		P		B		1	N	
226	 If the doctor is aware of the objection, then it would appear from Lord Goff's judgment that the doctor may be liable if he goes ahead with the transfusion.	N			N				P		B		1	N	
227	The compilers of the English dictionary may not have been aware of, or may have chosen to ignore, Ayrshire's legendary claim to King Cole.	N			N				P		B	B?	1	N	
228	 Keith Richardson says it was a welcome win and the 4 tries were very good, but there are areas of concern which the players are aware of.	N			N		B		P		B		1	N	
229	 Nor does he appear to be aware of the idea of  subjective redundancy.	N		B	N				P				1	N	
230	 He was very aware of  Jack 's interest in aviation, and offered him support with this.	N		B	N	A	B		P	A			1	N	
231	 Now employing two people, this is the only one-stop bike shop in the area and has been built up into a thriving business as people have become more aware of the need for a healthy lifestyle.	N		B	N		B		P		B		1	N	
232	 I therefore became very clearly aware of the potential that the university held for the whole of the East Sussex area.	N		B	N				P		B		1	N	
233	 Most teachers were aware of the presence of this group but unaware of the reason for its development, with the notable exceptions of a teacher from South Africa and the deputy headmistress.	N			N				P				1	N	
234	 It seems impossible that Matthew and his readers were not aware of the original meaning of these words.	N			N				P				1	N	
236	They include asking whether various capital losses could be written off against property companies owned by BAe; whether the Government was aware of BAe's attempts to use leasing companies to defray indirectly further tax bills; and what was the total trading tax loss written off.	N			N				P		B		1	N	
237	 To put it another way, he was aware of the idea of divided consciousness, much discussed in his day, and here and elsewhere he can be seen applying it to his own actions.	N		B	N		B		P		B		1	N	
238	 You should be aware of your own weaknesses if you have done a thorough selfassessment but the information is for your own eyes only.	N			N				P		B		1	N	
240	 A ball sliced or hooked will be exaggerated by the wind, so if you are generally inaccurate you must be aware of this.	N		B	N		B		P		B		1	N	
241	 The four basic types of activity offered in  Conversation are: controlled activities to give students confidence and support; awareness activities to increase students' sensitivity to what they are aiming at; fluency activities to give students the practice they need to use English for communication; and feedback tasks to allow students to reflect on their own performance so that they become aware of areas in which they have to improve.	N			N	A			P	A	B		1	N	
242	This can, of course, be potentially dangerous for the partnership as a whole, since even acts in which the partner is prohibited from indulging under the deed of agreement may still fall within this category of ostensible authority so long as the outsider concerned is not aware of the relevant restriction.	N			N				P			Negation 	1	N	
243	 In Britain, few people were aware of Sir Alan Walter's significance in shaping the government's economic policy until he fell out with the Chancellor, Nigel Lawson, who subsequently resigned.	N			N				P		B	Partial negation 	1	N	
245	 drivers don't seem to be fully aware of what the legal speed limits are and which roads are the most dangerous.	N			N				P	A	B		1	N	
247	 But sometimes material facts are suppressed, or on the other hand one party may petition for divorce without the other party being aware of the proceedings.	N			N				P	A	Negation 		1	N	
249	 It is a quite mistaken interpretation of the result to assume that the French people were not fully aware of the issue on which they were being consulted.	N			N				P	A		Negation 	1	N	
251	 Bradley and colleagues are well aware of these problems as they seek to justify newborn screening for this untreatable genetic disorder.	N		B	N		B		P	A	B		1	N	
252	 The Battle of the Boyne had shaken his confidence in James's value as an ally and his admirals were well aware of the difficulty of maintaining a large fleet in the Channel, with no port east of Brest able to accommodate their large ships whatever the state of the tide and wind, while the English fleet had a choice of harbours from Plymouth to Chatham, and of splendid natural anchorages from Torbay, via Portland, the Downs and the Nore, to the Gunfleet, usable in any weather.	N		B	N		B		P		B		1	N	
254	 Owners are aware of the capital losses they must incur if they redeploy their assets, and people with whom they are transacting know that nowhere else can they find assets as suitable to their needs as those already committed.	N		B	N		B		P	A	B		1	N	
257	 Managers need to be aware of these different needs and recognise the stage at which individuals have reached in the satisfaction of their needs.	N		B	N	A	B		P	A	B		1	N	
258	 Be aware of residents' rights to privacy and individual respect.	N		B	N		B		P		B		1	N	
259	 Perfectly aware of the veiled disapproval, his kindlier feelings abated, to be replaced by a resurgence of ill humour.	N			N				P	A			1	N	
261	 Some, through their contact with the various women's organizations, are aware of these problems and believe that change is already taking place in many very positive ways.	N			N		B		P		B		1	N	
262	 I was trying to hint at that this morning that we're looking at a whole child and sometimes they're not gonna succeed in a subject they've put it cos there's sod all else for them to put  and we need to be aware of that.	N		B	N		B		P		B		1	N	
263	 Was she aware of the effect her large, amber-coloured eyes, her curving red lips, might have on a man?	N		B	N		B		P		B		1	N	
264	 There are issues across Europe that we need to be aware of as a city.	N		B	N				P		B		1	N	
265	 Many women in the visual arts feel an ambivalence towards textiles: they may respect the skill associated with sewing and embroidery, and enjoy its qualities of colour and texture, but they are also aware of its image as a painstaking feminine craft of low status and strong domestic association.	N		B	N				P		B		1	N	
267	 Most staff were not aware of the variety of facilities available on AEA's network or even on their own telephones.	N		B	N				P				1	N	
269	 At the same time, Eliot saw men and women, whether aware of it or not, as bound to the cycle of manifold yet meaningless Birth, and copulation, and death, perception of which yielded only The horror.	N			N	A			P	A			1	N	
270	 Isis soon became aware of this outrage and travelled all over the country searching for the pieces of the body.	N		B	N				P	A			1	N	
271	 It was held (a) that it was a statement of present fact, namely that at the time the letter was sent the traveller had a definite and certain booking, (b) that that statement was false because the airline's overbooking policy meant that the traveller's booking was exposed to a risk that it might not give a seat on the aircraft, and (c) that the airline made the false statement knowingly (and not merely recklessly) since the airline was well aware of its own overbooking policy.	N			N				P				1	N	
272	 He became immediately aware of the developing cultural life taking place on the island and, along with his wife, Irene, taught, lectured and exhibited work alongside their Puerto Rican colleagues.	N		B	N				P	A	B		1	N	
276	 George Singleton was always aware of the social and artistic value of the cinema and, to this day, continues to express a serious interest in the arts in general.	N			N				P		B		1	N	
277	 The document said the Government was aware of concern about the time taken to complete assessments and that admitted unnecessary delays caused undue anxiety to parents.	N			N		B		P		B		1	N	
278	 Lamarckism was the only available theory of natural evolution, and, although this was being promoted by the liberal social philosopher Herbert Spencer, biologists were too well aware of its dangerous reputation to take it seriously.	N		B	N		B		P		B		1	N	
280	 Nobody saw it happen, the Minister for Health who delivered the blow had, like the rest of the cabinet, been to a good school and was hence highly skilled in the secret art of kicking an oik without authority being aware of it.	N			N				P	A		Negation 	1	N	
281	 It is not enough for the defendant to show that he was aware of the contents of what he was distributing or publishing, but did not himself think that it was insulting if the jury or magistrate should come to the conclusion that he suspected or had grounds to suspect otherwise.	N			N				P	A	?		1	N	
282	 It is with a feeling of surprise and wonder, even of awe, that humans become aware of a great intelligence living in the sea; of marine mammals with a perception greater than that of other animals, more akin to our own, says New Zealander Frank Robson, who has spent many years working with dolphins both in captivity and in the wild.	N			N				P	A			1	N	
283	 In general, de Gaulle was acutely aware of the danger of being boxed in by his own institutions and losing the capacity to act as an individual and to exert his personal will.	N		B	N		B		P	A	B		1	N	
284	 It is worth noting that some writers on business strategy are well aware of this problem.	N			N	A	B		P		B		1	N	
287	 In many different groups of animals there is an association between polygyny and sexual dimorphism and Darwin himself was well aware of the relationship.	N		B	N				P		B		1	N	
288	 Nasser's lower-middle-class background contributed to the widening of his political interests beyond those imaginable to the fellahin, the peasantry; while at the same time making him aware of the latter's situation, and the political and economic oppression suffered.	N			N				P	A	B		1	N	
289	 Executors we've dealt with and expenses, alterations I've just dealt with er Oh  if you want to change you mind, and remember a will is only a piece of paper until you die, you can change your mind as often as you like I have made a will in the past Four wills in one year for one of my clients, his right he's perfectly entitled to do that er and it's better that you alter it frequently if your circumstances change than that you don't be aware of how things go in the way that you don't want them do.	N			N		B		P	A	B	Negation - missing “need”? 	1	N	
290	 Gerard Fusil was only too aware of the dangers the 175 racers faced between the Caribbean and the Pacific coasts of a country aptly nicknamed the Switzerland of Central America.	N			N				P		B		1	N	
291	 Be constantly aware of how inflation discounts your accounts receivable.	N		B	N	A	B		P	A	B		1	N	
292	 Communication skills will have to be much better and every player will have to be acutely aware of what the ball carrier is going to do.	N		B	N	A	B		P		B		1	N	
